Program		INST_RETIRED.ANY	CPU_CLK_UNHALTED.THREAD	CPU_CLK_UNHALTED.REF_TSC	MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	DTLB_STORE_MISSES.MISS_CAUSES_A_WALK	ICACHE.HIT	ICACHE.MISSES	ITLB_MISSES.MISS_CAUSES_A_WALK	BR_INST_EXEC.ALL_BRANCHES	BR_MISP_EXEC.ALL_BRANCHES	BR_INST_RETIRED.ALL_BRANCHES	MEM_UOPS_RETIRED.STLB_MISS_LOADS	MEM_UOPS_RETIRED.STLB_MISS_STORES	MEM_UOPS_RETIRED.ALL_LOADS	MEM_UOPS_RETIRED.ALL_STORES	MEM_LOAD_UOPS_RETIRED.L1_HIT	MEM_LOAD_UOPS_RETIRED.L2_HIT	MEM_LOAD_UOPS_RETIRED.L3_HIT	MEM_LOAD_UOPS_RETIRED.L1_MISS	MEM_LOAD_UOPS_RETIRED.L2_MISS	MEM_LOAD_UOPS_RETIRED.L3_MISS	DTLB_LOAD_MISSES.WALK_COMPLETED	DTLB_LOAD_MISSES.STLB_HIT	DTLB_STORE_MISSES.WALK_COMPLETED	DTLB_STORE_MISSES.STLB_HIT	ITLB_MISSES.WALK_COMPLETED	ITLB_MISSES.STLB_HIT	Benign
parsec_12		21562032343	13900020850	15796023694	120066	0	2544003816	28800432	0	2714440716	31200468	2728861398	0	0	4536006804	1524002286	4188006282	102003060	27611592	133804014	24010080	0	0	24000036	0	0	0	0	1
parsec_12		21552032328	13688020532	15158022737	0	0	2568003852	27600414	0	2636439546	31200468	2666459994	0	600018	4536006804	1584002376	4176006264	87002610	32113482	121203636	32113482	600018	0	0	0	600018	0	0	1
parsec_12		21548032322	12328018492	13568020352	0	0	2856004284	36000540	0	2378435676	31200468	2349652866	0	0	4224006336	1512002268	4092006138	94802844	24010080	121203636	26411088	0	0	0	0	0	0	0	1
parsec_12		21542032313	12256018384	13784020676	120066	0	2808004212	31200468	0	2740841112	30000450	2743261722	0	0	4296006444	1536002304	3828005742	100203006	24310206	130203906	24610332	0	600018	0	0	0	0	0	1
parsec_12		21544032316	12218018327	13904020856	240132	0	2748004122	38400576	0	2427636414	30000450	2436054810	600018	0	4404006606	1488002232	4128006192	123603708	25510710	151804554	24610332	0	0	0	0	0	0	0	1
parsec_12		21870032805	14614021921	16262024393	240132	0	2532003798	33600504	0	2732440986	26400396	2755261992	0	3000090	4356006534	1572002358	4248006372	89402682	35714994	120603618	30012600	3600108	0	12000018	0	600018	0	600018	1
parsec_12		21540032310	12362018543	14386021579	120066	0	2688004032	31200468	0	2702440536	32400486	2733661506	0	0	4428006642	1572002358	3888005832	109803294	24010080	134404032	24910458	0	600018	0	0	0	0	0	1
parsec_34		39490059235	30456045684	28688043032	840462	2400072	8436012654	26400396	0	4726870902	147602214	4706505894	24000720	600018	11700017550	4572006858	10560015840	58201746	59124822	134404032	74131122	15600468	33601008	144000216	2400072	21600648	0	0	1
parsec_34		39404059106	30010045015	28074042111	600330	1200036	8052012078	28800432	2400072	4665669984	165602484	4663304922	23400702	1200036	11652017478	5004007506	10728016092	106803204	56123562	183605508	82234524	18600558	31800954	156000234	1800054	14400432	1800054	600018	1
parsec_34		39432059148	27928041892	26772040158	120066	1800054	7380011070	31200468	0	4213263198	111601674	4171293852	21000630	1800054	11244016866	5292007938	10344015516	111603348	62126082	198005940	85235784	18600558	26400792	108000162	2400072	9000270	0	0	1
parsec_34		39418059127	28568042852	27344041016	240132	3000090	8112012168	19200288	0	4646469696	146402196	4620103950	23400702	600018	10740016110	4380006570	10380015570	81002430	68128602	174005220	84635532	17400522	28800864	120000180	2400072	15000450	0	0	1
parsec_34		39410059115	28172042258	26954040431	240132	3000090	8136012204	21600324	0	4580468706	140402106	4531301952	22200666	600018	10644015966	4176006264	10308015462	81002430	63026460	167405022	84035280	18000540	28800864	120000180	2400072	12600378	0	600018	1
parsec_34		39534059301	29336044004	27776041664	360198	3000090	8652012978	28800432	2400072	4384865772	120001800	4279296282	22200666	600018	10668016002	4428006642	10248015372	67202016	57624192	142804284	80133642	16800504	32400972	144000216	2400072	10800324	2400072	600018	1
parsec_34		39532059298	29180043770	28382042573	2641452	2400072	8316012474	28800432	0	4348865232	124801872	4341697686	24000720	2400072	11064016596	5112007668	11016016524	51601548	56723814	130203906	74131122	15000450	28200846	120000180	1800054	10800324	0	0	1
parsec_34		39468059202	29126043689	27974041961	240132	3000090	7704011556	37200558	600018	4438866582	128401926	4344097740	24000720	600018	11160016740	4920007380	10476015714	70802124	60925578	151804554	83134902	17400522	33000990	144000216	2400072	10200306	0	0	1
parsec_34		39472059208	28840043260	27444041166	960528	2400072	8040012060	27600414	0	4832472486	147602214	4814508324	20400612	600018	10980016470	4560006840	10788016182	48601458	57624192	127803834	70829736	16800504	30000900	120000180	2400072	12000360	0	0	1
parsec_34		39398059097	29100043650	27898041847	0	2400072	8652012978	19200288	0	4795271928	151202268	4776107460	26400792	600018	11232016848	4476006714	9888014832	86402592	66627972	177605328	78633012	16800504	31200936	120000180	2400072	15600468	0	0	1
parsec_56		39418059127	25132037698	27474041211	120066	0	2328003492	24000360	0	6100891512	198002970	5764929708	600018	0	10320015480	2016003024	9972014958	51601548	62126082	133203996	78032760	10200306	1800054	0	0	9000270	600018	600018	1
parsec_56		39304058956	26004039006	28048042072	1080594	0	2316003474	22800342	600018	5637684564	193202898	5400121500	1200036	0	10356015534	2028003042	9792014688	49201476	48620412	116403492	69929358	8400252	600018	0	0	4800144	0	600018	1
parsec_56		39372059058	27558041337	29372044058	2041122	0	2748004122	22800342	0	5960489406	183602754	5743329222	600018	0	10356015534	2064003096	9708014562	51001530	48920538	109203276	63926838	6000180	600018	12000018	0	13200396	0	600018	1
parsec_56		39386059079	25934038901	27904041856	1440792	0	2712004068	20400306	600018	6007290108	196802952	5750529384	4200126	0	10236015354	2088003132	9504014256	45601368	51921798	111603348	60625452	6000180	0	0	0	7200216	0	0	1
